,state,year,state_abbv,TEMP_F,bike_deaths,vmt,Survey,Population,Commuters,Bicycle commuters
182,New York,2013,NY,58.6151515152,40,125994.0,ACS5,19487053,8870713,48268
183,New York,2014,NY,61.6090909091,46,135461.0,ACS5,19594330,8950165,52298
184,New York,2015,NY,67.4542857143,36,122311.0,ACS5,19673174,9064986,55577
185,North Carolina,2010,NC,63.5363636364,23,129242.0,ACS5,9271178,4205946,9992
186,North Carolina,2011,NC,66.7210526316,25,101284.0,ACS5,9418736,4221511,9732
187,North Carolina,2012,NC,64.8555555556,27,103964.0,ACS5,9544249,4237689,10489
188,North Carolina,2013,NC,67.595,22,104746.0,ACS5,9651380,4227986,9970
189,North Carolina,2014,NC,63.8333333333,19,105966.0,ACS5,9750405,4280414,10427
190,North Carolina,2015,NC,64.6052631579,19,102583.0,ACS5,9845333,4361591,10772
191,North Dakota,2010,ND,79.0,1,8657.0,ACS5,659858,350016,2170
192,North Dakota,2011,ND,77.0,1,8489.0,ACS5,666783,356704,2117
193,North Dakota,2013,ND,68.0,1,9462.0,ACS5,689781,369676,1871
194,North Dakota,2014,ND,79.4666666667,3,10198.0,ACS5,704925,377678,1801
195,North Dakota,2015,ND,82.9,1,9619.0,ACS5,721640,385843,1518
196,Ohio,2010,OH,71.2454545455,11,111453.0,ACS5,11512431,5246423,14498
197,Ohio,2011,OH,58.2571428571,16,110873.0,ACS5,11525536,5213225,15444
198,Ohio,2012,OH,61.65,18,112791.0,ACS5,11533561,5196293,15567
199,Ohio,2013,OH,70.6052631579,19,113651.0,ACS5,11549590,5164077,15355
200,Ohio,2014,OH,62.7454545455,11,112413.0,ACS5,11560380,5199477,16244
201,Ohio,2015,OH,62.484,25,106333.0,ACS5,11575977,5263292,15903
202,Oklahoma,2010,OK,76.1777777778,9,48052.0,ACS5,3675339,1655524,3775
203,Oklahoma,2011,OK,-9999.0,1,46624.0,ACS5,3714520,1668821,3914
204,Oklahoma,2012,OK,48.18,5,48445.0,ACS5,3749005,1676739,4027
205,Oklahoma,2013,OK,58.8153846154,13,48846.0,ACS5,3785742,1673026,4227
206,Oklahoma,2014,OK,71.1,4,48702.0,ACS5,3818851,1686185,4572
207,Oklahoma,2015,OK,75.6166666667,6,44266.0,ACS5,3849733,1705849,4259
208,Oregon,2010,OR,57.0714285714,7,34172.0,ACS5,3761925,1720292,35996
209,Oregon,2011,OR,60.3133333333,15,33159.0,ACS5,3801991,1713340,37747
210,Oregon,2012,OR,53.8875,10,33184.0,ACS5,3836628,1705593,39517
211,Oregon,2013,OR,72.4333333333,3,33766.0,ACS5,3868721,1700451,39789
212,Oregon,2014,OR,62.2571428571,7,34411.0,ACS5,3900343,1715236,40643
213,Oregon,2015,OR,61.0,8,33527.0,ACS5,3939233,1751088,42231
214,Pennsylvania,2010,PA,64.645,21,104395.0,ACS5,12612705,5799572,23565
215,Pennsylvania,2011,PA,63.9909090909,11,100327.0,ACS5,12660739,5806520,24107
216,Pennsylvania,2012,PA,-608.966666667,16,99318.0,ACS5,12699589,5808681,25969
217,Pennsylvania,2013,PA,63.9727272727,11,98694.0,ACS5,12731381,5794492,26659
218,Pennsylvania,2014,PA,54.6944444444,19,99000.0,ACS5,12758729,5826933,26737
219,Pennsylvania,2015,PA,65.4857142857,16,91899.0,ACS5,12779559,5879935,28274
220,Rhode Island,2010,RI,42.8,2,8305.0,ACS5,1056389,502098,1910
221,Rhode Island,2012,RI,63.25,2,7909.0,ACS5,1052471,500642,2090
222,Rhode Island,2013,RI,69.7,3,7906.0,ACS5,1051695,499689,2282
223,South Carolina,2010,SC,64.5769230769,14,49483.0,ACS5,4511428,1989319,5387
224,South Carolina,2011,SC,70.5533333333,15,48405.0,ACS5,4575864,1988734,5608
225,South Carolina,2012,SC,64.0230769231,13,48849.0,ACS5,4630351,1988444,6020
226,South Carolina,2013,SC,65.0066666667,15,49562.0,ACS5,4679602,1994198,6393
227,South Carolina,2014,SC,62.3285714286,14,50362.0,ACS5,4727273,2022019,6853
228,South Carolina,2015,SC,62.6533333333,16,47796.0,ACS5,4777576,2062681,6618
229,South Dakota,2010,SD,79.55,2,9871.0,ACS5,799462,405497,2179
230,South Dakota,2011,SD,75.0,1,8624.0,ACS5,807697,409213,2109
231,South Dakota,2014,SD,51.55,2,9299.0,ACS5,834708,420700,2307
232,South Dakota,2015,SD,55.0,1,8856.0,ACS5,843190,425712,2373
233,Tennessee,2010,TN,71.375,4,70929.0,ACS5,6234968,2753584,3643
234,Tennessee,2011,TN,-1941.18,5,69433.0,ACS5,6297991,2759886,3808
235,Tennessee,2012,TN,67.1,8,71194.0,ACS5,6353226,2762765,3896
236,Tennessee,2013,TN,68.1375,8,71450.0,ACS5,6402387,2757174,3900
237,Tennessee,2014,TN,61.66,5,71877.0,ACS5,6451365,2788201,4182
238,Tennessee,2015,TN,62.62,10,68885.0,ACS5,6499615,2843629,4068
239,Texas,2010,TX,71.55,42,233876.0,ACS5,24311891,10961232,25918
240,Texas,2011,TX,73.623255814,45,232157.0,ACS5,24774187,11144461,27642
241,Texas,2012,TX,74.4527272727,56,242314.0,ACS5,25208897,11314152,29282
242,Texas,2013,TX,69.6085106383,48,246103.0,ACS5,25639373,11445014,30416
243,Texas,2014,TX,68.678,50,251307.0,ACS5,26092033,11685902,31871
244,Texas,2015,TX,69.42,50,232808.0,ACS5,26538614,11966019,33176
245,Utah,2010,UT,67.0142857143,7,26377.0,ACS5,2657236,1217129,9164
246,Utah,2011,UT,74.72,5,26431.0,ACS5,2715379,1234094,9400
247,Utah,2012,UT,47.3666666667,3,26345.0,ACS5,2766233,1249915,10217
248,Utah,2013,UT,59.0833333333,6,26479.0,ACS5,2813673,1259283,10619
249,Utah,2014,UT,59.1222222222,9,27725.0,ACS5,2858111,1282333,10594
250,Utah,2015,UT,60.12,5,26474.0,ACS5,2903379,1319944,11339
251,Vermont,2010,VT,81.0,1,7780.0,ACS5,624258,320941,2022
252,Vermont,2015,VT,67.775,4,6636.0,ACS5,626604,318435,2541
253,Virginia,2010,VA,63.2083333333,12,81309.0,ACS5,7841754,3851989,12334
254,Virginia,2011,VA,-1611.51666667,6,81482.0,ACS5,7926192,3877505,13234
255,Virginia,2012,VA,63.2,11,80522.0,ACS5,8014955,3906766,14182
256,Virginia,2013,VA,71.5571428571,8,79896.0,ACS5,8100653,3919771,14590
257,Virginia,2014,VA,-856.490909091,12,81306.0,ACS5,8185131,3964601,15163
258,Virginia,2015,VA,60.22,15,75806.0,ACS5,8256630,4020679,16263
259,Washington,2010,WA,71.25,6,56970.0,ACS5,6561297,3093824,25435
260,Washington,2011,WA,68.9181818182,11,56060.0,ACS5,6652845,3109613,26310
261,Washington,2012,WA,50.85,12,56561.0,ACS5,6738714,3127950,28304
262,Washington,2013,WA,55.9363636364,11,56704.0,ACS5,6819579,3126887,27734
263,Washington,2014,WA,55.1428571429,7,57630.0,ACS5,6899123,3171197,28804
264,Washington,2015,WA,63.2285714286,14,55658.0,ACS5,6985464,3236166,29888
265,West Virginia,2010,WV,61.8333333333,3,19300.0,ACS5,1840802,744023,1124
266,West Virginia,2012,WV,69.1,1,19013.0,ACS5,1850481,743046,924
267,West Virginia,2014,WV,68.55,2,19079.0,ACS5,1853881,736438,996
268,West Virginia,2015,WV,55.9,1,17850.0,ACS5,1851420,735009,956
269,Wisconsin,2010,WI,58.6,9,59016.0,ACS5,5637947,2812812,20192
270,Wisconsin,2011,WI,73.5,12,58520.0,ACS5,5664893,2806770,20023
271,Wisconsin,2012,WI,66.6,11,54871.0,ACS5,5687219,2807856,21098
272,Wisconsin,2013,WI,63.9888888889,10,54839.0,ACS5,5706871,2792190,21274
273,Wisconsin,2014,WI,66.025,4,59800.0,ACS5,5724692,2804563,22019
274,Wisconsin,2015,WI,59.0571428571,15,57795.0,ACS5,5742117,2835551,22049
275,Wyoming,2011,WY,73.0,1,9607.0,ACS5,554697,283656,2979
276,Wyoming,2014,WY,72.86,5,9444.0,ACS5,575251,288257,2648
