YEAR,STATE,Postal code,VMT,VMT (B),YEAR_STATE,Total deaths,Deaths per BVMT,Deaths involving drivers under 16,Deaths involving drivers under 16 per BVMT,Deaths involving drivers between 25 & 44,Deaths involving drivers between 25 & 44 per BVMT,Multi-vehicle deaths,Multi-vehicle deaths per BVMT,Bicyclist deaths,Bicyclist deaths per BVMT
2010,13,GA,108958,108.958,2010-13,1247,11.444776886506727,7,0.0642449384166376,583,5.350685585271389,549,5.038638741533435,18,0.165201270214211
2010,15,HI,9868,9.868,2010-15,113,11.451155249290636,1,0.10133765707336846,49,4.9655451965950546,46,4.661532225374949,3,0.3040129712201054
2010,16,ID,15585,15.585,2010-16,209,13.410330445941609,7,0.4491498235482836,93,5.967276227141482,72,4.619826756496631,4,0.2566570420275906
2010,17,IL,107731,107.731,2010-17,927,8.604765573511804,2,0.018564758518903567,440,4.084246874158785,416,3.861469771931942,24,0.2227771022268428
2010,18,IN,78638,78.638,2010-18,754,9.588239782293547,5,0.06358249192502352,330,4.196444467051553,390,4.959434370151834,13,0.16531447900506116
2010,19,IA,31472,31.472,2010-19,390,12.39196746314184,5,0.1588713777325877,171,5.433401118454499,197,6.259532282663955,8,0.2541942043721403
2010,20,KS,29812,29.812,2010-20,431,14.457265530658795,3,0.10063061854286864,189,6.339728968200724,216,7.245404535086542,1,0.033543539514289546
2010,21,KY,47477,47.477,2010-21,760,16.00775112159572,8,0.16850264338521811,385,8.109189712913622,350,7.371990648103292,7,0.14743981296206585
2010,22,LA,43956,43.956,2010-22,721,16.402766402766403,3,0.06825006825006824,377,8.576758576758577,303,6.8932568932568925,11,0.2502502502502502
2010,23,ME,14623,14.623,2010-23,161,11.010052656773576,0,0,55,3.761198112562402,62,4.239896054161253,1,0.06838542022840731
2010,24,MD,55677,55.677,2010-24,496,8.908525962246529,1,0.017960737827109937,235,4.2207733893708355,227,4.077087486753956,8,0.1436859026168795
2010,25,MA,55689,55.689,2010-25,347,6.231033058593259,0,0,120,2.1548241124818186,127,2.2805221857099247,7,0.12569807322810608
2010,26,MI,97625,97.625,2010-26,942,9.649167733674776,10,0.10243277848911651,411,4.209987195902689,439,4.496798975672215,29,0.2970550576184379
2010,27,MN,57302,57.302,2010-27,411,7.172524519213989,3,0.05235419357090503,195,3.403022582108827,227,3.961467313531814,9,0.1570625807127151
2010,28,MS,41197,41.197,2010-28,641,15.559385392140204,6,0.1456416729373498,288,6.99080030099279,223,5.413015510838168,4,0.09709444862489987
2010,29,MO,68863,68.863,2010-29,821,11.922222383573182,5,0.07260793169045787,352,5.111598391008234,336,4.879253009598768,7,0.10165110436664102
2010,30,MT,11221,11.221,2010-30,189,16.843418590143482,3,0.26735585063719813,80,7.129489350325283,69,6.149184564655556,0,0
2010,31,NE,20055,20.055,2010-31,190,9.473946646721515,5,0.2493143854400399,82,4.088755921216654,97,4.836699077536774,2,0.09972575417601595
2010,32,NV,20280,20.28,2010-32,257,12.67258382642998,0,0,118,5.818540433925049,112,5.522682445759369,6,0.29585798816568043
2010,33,NH,13102,13.102,2010-33,128,9.769500839566478,0,0,47,3.587238589528316,44,3.358265913600977,0,0
2010,34,NJ,73523,73.523,2010-34,556,7.562259429022211,2,0.027202372046842487,246,3.3458917617616257,237,3.2234810875508346,13,0.17681541830447617
2010,35,NM,26323,26.323,2010-35,349,13.258367207385175,4,0.15195836340842608,183,6.952095125935494,139,5.280553128442807,8,0.30391672681685217
2010,36,NY,134445,134.445,2010-36,1201,8.933020937930008,4,0.02975194317378854,487,3.622299081408755,453,3.369407564431552,36,0.2677674885640969
2010,37,NC,129242,129.242,2010-37,1320,10.213398121353741,5,0.038687114096036895,621,4.804939570727782,572,4.42580585258662,23,0.17796072484176972
2010,38,ND,8657,8.657,2010-38,105,12.12891301836664,4,0.4620538292711101,53,6.1222132378422085,46,5.313619036617766,1,0.11551345731777753
2010,39,OH,111453,111.453,2010-39,1080,9.690183305967537,4,0.03588956779987977,503,4.513113150834881,525,4.710505773734219,11,0.09869631144966937
2010,40,OK,48052,48.052,2010-40,668,13.901606592857737,4,0.08324315325064513,293,6.097560975609756,290,6.035128610671772,9,0.18729709481395154
2010,41,OR,34172,34.172,2010-41,317,9.276600725740373,0,0,116,3.394592063677865,129,3.775020484607281,7,0.20484607280814704
2010,42,PA,104395,104.395,2010-42,1324,12.682599741366925,4,0.03831601130322334,556,5.325925571148043,572,5.479189616360937,21,0.20115905934192252
2010,44,RI,8305,8.305,2010-44,67,8.06742925948224,1,0.12040939193257075,26,3.1306441902468394,18,2.1673690547862736,2,0.2408187838651415
2010,45,SC,49483,49.483,2010-45,809,16.34904916840127,0,0,396,8.00274841864883,318,6.426449487702848,14,0.2829254491441505
2010,46,SD,9871,9.871,2010-46,140,14.18296018640462,5,0.5065342923715935,58,5.875797791510485,62,6.28102522540776,2,0.20261371694863742
2010,47,TN,70929,70.929,2010-47,1032,14.549761028634268,4,0.05639442259160569,479,6.7532321053447815,427,6.020104611653907,4,0.05639442259160569
2010,48,TX,233876,233.876,2010-48,3023,12.925652910089108,13,0.05558501086045597,1490,6.370897398621492,1434,6.131454274914912,42,0.17958234277993465
2010,49,UT,26377,26.377,2010-49,253,9.591689729688744,1,0.037911817113394246,115,4.359858968040339,116,4.397770785153733,7,0.2653827197937597
2010,50,VT,7780,7.78,2010-50,71,9.125964010282775,1,0.12853470437017994,21,2.6992287917737787,27,3.4704370179948585,1,0.12853470437017994
2010,51,VA,81309,81.309,2010-51,740,9.101083520889446,3,0.0368962845441464,332,4.0831888228855355,293,3.6035371238116323,12,0.1475851381765856
2010,53,WA,56970,56.97,2010-53,460,8.07442513603651,5,0.0877654906090925,199,3.493066526241882,192,3.370194839389152,6,0.105318588730911
2010,54,WV,19300,19.3,2010-54,315,16.321243523316063,1,0.05181347150259067,150,7.772020725388601,133,6.891191709844559,2,0.10362694300518134
2010,55,WI,59016,59.016,2010-55,572,9.692286837467806,1,0.0169445574081605,238,4.0328046631421985,272,4.608919615019656,9,0.15250101667344448
2010,56,WY,9677,9.677,2010-56,154,15.91402294099411,1,0.10333781130515655,59,6.096930867004237,53,5.476903999173298,0,0
2011,1,AL,63149,63.149,2011-1,895,14.172829340132068,3,0.04750669052558235,460,7.284359213922627,396,6.27088314937687,5,0.07917781754263725
2011,2,AK,4723,4.723,2011-2,72,15.244547956807114,0,0,34,7.198814312936693,32,6.775354647469829,2,0.4234596654668643
2011,4,AZ,58959,58.959,2011-4,826,14.009735578961651,2,0.03392187791516138,350,5.936328635153242,337,5.7158364287046926,22,0.3731406570667752
2011,5,AR,32578,32.578,2011-5,551,16.91325434342194,5,0.153477807109092,271,8.318497145312787,224,6.8758057584873224,6,0.1841733685309104
2011,6,CA,319941,319.941,2011-6,2816,8.801622799203605,6,0.01875345766875768,1305,4.078877042954795,1150,3.594412719845222,115,0.3594412719845222
2011,8,CO,46124,46.124,2011-8,447,9.691267019339172,0,0,200,4.336137368831844,181,3.9242043187928193,8,0.17344549475327378
2011,9,CT,30707,30.707,2011-9,221,7.197056045852737,2,0.06513172892174422,90,2.9309278014784903,82,2.6704008857915134,8,0.2605269156869769
2011,10,DE,8928,8.928,2011-10,99,11.088709677419354,0,0,47,5.264336917562724,41,4.592293906810036,0,0
2011,11,DC,3709,3.709,2011-11,27,7.279590186033971,0,0,18,4.853060124022647,12,3.2353734160150984,1,0.26961445133459155
2011,12,FL,193024,193.024,2011-12,2400,12.433687002652519,9,0.04662632625994695,1102,5.709134615384615,1042,5.398292440318302,126,0.6527685676392573
2011,13,GA,109726,109.726,2011-13,1226,11.173286185589559,9,0.08202249239013543,547,4.98514481526712,556,5.067167307657256,14,0.12759054371798845
2011,15,HI,10016,10.016,2011-15,100,9.984025559105431,0,0,48,4.792332268370607,38,3.7939297124600637,2,0.19968051118210864
2011,16,ID,15567,15.567,2011-16,167,10.72782167405409,0,0,58,3.725830282006809,61,3.9185456414209545,0,0
2011,17,IL,105200,105.2,2011-17,918,8.726235741444867,5,0.04752851711026616,418,3.973384030418251,402,3.821292775665399,27,0.25665399239543724
2011,18,IN,75690,75.69,2011-18,751,9.922050469018364,1,0.01321178491214163,342,4.5184304399524375,380,5.02047826661382,11,0.14532963403355795
2011,19,IA,31111,31.111,2011-19,360,11.571469898106779,2,0.064285943878371,147,4.725016875060268,162,5.20716145414805,5,0.16071485969592747
