Year,State,Population,Commuters,Bicycle commuters,VMT,No. deaths,Deaths per B miles
2014,NJ,8874374,4144855,15152,73761,556,0.7537858760049349
2014,NM,2080085,869118,6382,25746,386,1.4992620212848597
2014,NY,19594330,8950165,52298,135461,1041,0.7684868707598497
2014,NC,9750405,4280414,10427,105966,1284,1.2117094162278468
2014,ND,704925,377678,1801,10198,135,1.3237889782310257
2014,OH,11560380,5199477,16244,112413,1006,0.894914289272593
2014,OK,3818851,1686185,4572,48702,669,1.3736602192928422
2014,OR,3900343,1715236,40643,34411,357,1.037458952079277
2014,PA,12758729,5826933,26737,99000,1195,1.207070707070707
2014,RI,1053252,501177,2465,7732,51,0.6595964821520952
2014,SC,4727273,2022019,6853,50362,823,1.6341686191970135
2014,SD,834708,420700,2307,9299,136,1.4625228519195612
2014,TN,6451365,2788201,4182,71877,963,1.339788805876706
2014,TX,26092033,11685902,31871,251307,3536,1.4070439741033876
2014,UT,2858111,1282333,10594,27725,256,0.9233543733092877
2014,VT,626358,316919,2478,7153,44,0.6151265203411156
2014,VA,8185131,3964601,15163,81306,703,0.8646348362974442
2014,WA,6899123,3171197,28804,57630,462,0.8016657990629881
2014,WV,1853881,736438,996,19079,272,1.4256512395827874
2014,WI,5724692,2804563,22019,59800,506,0.8461538461538461
2014,WY,575251,288257,2648,9444,149,1.577721304531978
2015,AK,733375,356987,3583,4969,65,1.3081102837593077
2015,AL,4830620,1995472,2453,67868,849,1.2509577414982023
2015,AR,2958208,1236999,1847,35484,531,1.4964491038214407
2015,AZ,6641928,2777754,27816,64957,893,1.3747556075557676
2015,CA,38421464,16869052,188736,350729,3176,0.9055424558562308
2015,CO,5278906,2606591,34698,51132,546,1.0678244543534383
2015,CT,3593222,1748352,5426,31363,266,0.8481331505276919
2015,DE,926454,427787,1313,9898,126,1.272984441301273
2015,FL,19645772,8432513,57987,211710,2939,1.3882197345425344
2015,GA,10006693,4341894,10009,116566,1430,1.2267728154007171
2015,HI,1406299,678279,7272,11119,94,0.8453997661660221
2015,IA,3093526,1546601,8133,31684,320,1.0099734881959348
2015,ID,1616547,704276,6831,16981,216,1.272009893410282
2015,IL,12873761,5983836,37314,107339,998,0.9297645776465217
2015,IN,6568645,2986176,14773,81945,821,1.0018915125999146
2015,KS,2892987,1393853,4584,31664,355,1.1211470439615967
2015,KY,4397353,1864524,4327,48743,761,1.5612498204870442
2015,LA,4625253,1986355,10029,49220,726,1.4750101584721658
2015,MA,6705586,3346749,25680,57790,306,0.5295033742862088
2015,MD,5930538,2942352,9138,57695,513,0.8891585059363896
2015,ME,1329100,635475,2617,14575,156,1.0703259005145798
2015,MI,9900571,4279616,19582,101058,963,0.9529181262245443
2015,MN,5419171,2776528,22727,59383,411,0.6921172726201101
2015,MO,6045448,2775023,6722,73366,869,1.1844723713981953
2015,MS,2988081,1189806,1547,40877,677,1.656188076424395
2015,MT,1014699,478238,6768,12779,224,1.7528758118788637
2015,NC,9845333,4361591,10772,111667,1379,1.234921686800935
2015,ND,721640,385843,1518,10397,131,1.2599788400500145
2015,NE,1869365,956034,4784,20356,246,1.2084888976223225
2015,NH,1324201,682019,1683,13267,114,0.8592748925906384
2015,NJ,8904413,4190538,14214,75957,562,0.739892307489764
2015,NM,2084117,871117,6536,25952,298,1.1482737361282367
2015,NV,2798636,1251879,5417,26048,325,1.2476965601965602
2015,NY,19673174,9064986,55577,133905,1121,0.837160673611889
2015,OH,11575977,5263292,15903,116201,1110,0.9552413490417466
2015,OK,3849733,1705849,4259,47991,643,1.339834552311892
2015,OR,3939233,1751088,42231,36330,447,1.2303881090008257
2015,PA,12779559,5879935,28274,101450,1200,1.1828486939379004
2015,RI,1053661,507116,2007,7730,45,0.5821474773609314
2015,SC,4777576,2062681,6618,52035,977,1.8775823964639184
2015,SD,843190,425712,2373,9599,133,1.3855609959370767
2015,TN,6499615,2843629,4068,75129,958,1.2751400923744494
2015,TX,26538614,11966019,33176,253509,3516,1.3869330082955635
2015,UT,2903379,1319944,11339,28728,276,0.960735171261487
2015,VA,8256630,4020679,16263,82706,753,0.9104538969361352
2015,VT,626604,318435,2541,7195,57,0.7922168172341905
2015,WA,6985464,3236166,29888,60187,568,0.9437253892036486
2015,WI,5742117,2835551,22049,62527,566,0.905208949733715
2015,WV,1851420,735009,956,19465,268,1.376830208065759
2015,WY,579679,289747,2570,9694,145,1.4957705797400456
