auto_braking,make,model,model joinable,warning,year,MAKE,MODEL,MAK_MOD,BODY_TYP,MOD_YEAR
Not available,Chevrolet,Silverado 2500 ext. cab pickup 4WD,Chevrolet Silverado,Optional,2016,20,481,20481,31,2003
Not available,Chevrolet,Silverado 2500 pickup,Chevrolet Silverado,Optional,2016,20,481,20481,31,2003
Not available,Chevrolet,Silverado 2500 pickup 4WD,Chevrolet Silverado,Optional,2016,20,481,20481,31,2003
Not available,Chevrolet,Silverado 3500 crew cab pickup,Chevrolet Silverado,Optional,2016,20,481,20481,31,2003
Not available,Chevrolet,Silverado 3500 crew cab pickup 4WD,Chevrolet Silverado,Optional,2016,20,481,20481,31,2003
Not available,Chevrolet,Silverado 3500 ext. cab pickup,Chevrolet Silverado,Optional,2016,20,481,20481,31,2003
Not available,Chevrolet,Silverado 3500 ext. cab pickup 4WD,Chevrolet Silverado,Optional,2016,20,481,20481,31,2003
Not available,Chevrolet,Silverado 3500 pickup,Chevrolet Silverado,Optional,2016,20,481,20481,31,2003
Not available,Chevrolet,Silverado 3500 pickup 4WD,Chevrolet Silverado,Optional,2016,20,481,20481,31,2003
Not available,Chevrolet,Sonic 4dr,Chevrolet Sonic,Optional,2016,20,28,20028,5,2015
Not available,Chevrolet,Sonic station wagon,Chevrolet Sonic,Optional,2016,20,28,20028,5,2015
Not available,Chevrolet,Spark 4dr,Chevrolet Spark,Optional,2016,20,29,20029,5,2015
Not available,Chevrolet,SS 4dr,Chevrolet SS,Standard,2016,20,21,20021,4,2014
Optional,Chevrolet,Suburban 1500 4dr,Chevrolet Suburban,Optional,2016,20,422,20422,15,2012
Optional,Chevrolet,Suburban 1500 4dr 4WD,Chevrolet Suburban,Optional,2016,20,422,20422,15,2012
Optional,Chevrolet,Tahoe 4dr,Chevrolet Tahoe,Optional,2016,20,421,20421,15,1997
Optional,Chevrolet,Tahoe 4dr 4WD,Chevrolet Tahoe,Optional,2016,20,421,20421,15,1997
Not available,Chevrolet,Traverse 4dr,Chevrolet Traverse,Optional,2016,20,24,20024,6,2012
Not available,Chevrolet,Traverse 4dr 4WD,Chevrolet Traverse,Optional,2016,20,24,20024,6,2012
Optional,Chevrolet,Volt electric 4dr,Chevrolet Volt,Optional,2016,20,26,20026,5,2012
Optional,Chrysler,200 4dr,Chrysler 200,Optional,2016,6,18,6018,4,2015
Optional,Chrysler,200 4dr 4WD,Chrysler 200,Optional,2016,6,18,6018,4,2015
Optional,Chrysler,300 4dr,Chrysler 300,Optional,2016,6,51,6051,4,2006
Optional,Chrysler,300 4dr 4WD,Chrysler 300,Optional,2016,6,51,6051,4,2006
Optional,Chrysler,300 HEMI 4dr,Chrysler 300,Optional,2016,6,51,6051,4,2006
Not available,Chrysler,Town & Country LWB,Chrysler Town,Not available,2016,,,,,
Not available,Dodge,Challenger 2dr,Dodge Challenger,Optional,2016,7,28,7028,2,2010
Not available,Dodge,Challenger SRT Hellcat 2dr,Dodge Challenger,Not available,2016,7,28,7028,2,2010
Not available,Dodge,Challenger SRT-8 2dr,Dodge Challenger,Optional,2016,7,28,7028,2,2010
Optional,Dodge,Charger 4dr,Dodge Charger,Optional,2016,7,24,7024,4,2010
Optional,Dodge,Charger 4dr 4WD,Dodge Charger,Optional,2016,7,24,7024,4,2010
Optional,Dodge,Charger HEMI 4dr,Dodge Charger,Optional,2016,7,24,7024,4,2010
Not available,Dodge,Charger SRT Hellcat 4dr,Dodge Charger,Not available,2016,7,24,7024,4,2010
Not available,Dodge,Dart 4dr,Dodge Dart,Not available,2016,7,29,7029,4,2015
Optional,Dodge,Durango 4dr,Dodge Durango,Optional,2016,7,402,7402,14,2000
Optional,Dodge,Durango 4dr 4WD,Dodge Durango,Optional,2016,7,402,7402,14,2000
Not available,Dodge,Grand Caravan,Dodge Grand,Not available,2016,,,,,
Not available,Ferrari,488 GTB 2dr,Ferrari 488,Not available,2016,,,,,
Not available,Ferrari,California T convertible,Ferrari California,Not available,2016,,,,,
Not available,Ferrari,F12 Berlinetta 2dr,Ferrari F12,Not available,2016,,,,,
Not available,Ferrari,FF 2dr 4WD,Ferrari FF,Not available,2016,,,,,
Optional,Fiat,500X 4dr,Fiat 500X,Optional,2016,,,,,
Optional,Fiat,500X 4dr 4WD,Fiat 500X,Optional,2016,,,,,
Not available,Ford,Edge 4dr,Ford Edge,Optional,2016,12,24,12024,6,2008
Not available,Ford,Edge 4dr 4WD,Ford Edge,Optional,2016,12,24,12024,6,2008
Not available,Ford,Escape 4dr,Ford Escape,Not available,2016,12,402,12402,14,2005
Not available,Ford,Escape 4dr 4WD,Ford Escape,Not available,2016,12,402,12402,14,2005
Not available,Ford,Expedition 4dr,Ford Expedition,Not available,2016,12,422,12422,15,2001
Not available,Ford,Expedition 4dr 4WD,Ford Expedition,Not available,2016,12,422,12422,15,2001
Not available,Ford,Expedition EL 4dr,Ford Expedition,Not available,2016,12,422,12422,15,2001
Not available,Ford,Expedition EL 4dr 4WD,Ford Expedition,Not available,2016,12,422,12422,15,2001
Not available,Ford,Explorer 4dr,Ford Explorer,Optional,2016,12,401,12401,14,2002
Not available,Ford,Explorer 4dr 4WD,Ford Explorer,Optional,2016,12,401,12401,14,2002
Not available,Ford,F-150 pickup,Ford F-150,Not available,2016,,,,,
Not available,Ford,F-150 pickup 4WD,Ford F-150,Not available,2016,,,,,
Not available,Ford,F-150 SuperCab pickup,Ford F-150,Optional,2016,,,,,
Not available,Ford,F-150 SuperCab pickup 4WD,Ford F-150,Optional,2016,,,,,
Not available,Ford,F-150 SuperCrew pickup,Ford F-150,Optional,2016,,,,,
Not available,Ford,F-150 SuperCrew pickup 4WD,Ford F-150,Optional,2016,,,,,
Not available,Ford,Flex 4dr,Ford Flex,Optional,2016,12,25,12025,6,2013
Not available,Ford,Flex 4dr 4WD,Ford Flex,Optional,2016,12,25,12025,6,2013
Not available,Ford,Focus 4dr,Ford Focus,Not available,2016,12,37,12037,5,2014
Not available,Ford,Focus station wagon,Ford Focus,Not available,2016,12,37,12037,5,2014
Not available,Ford,Fusion 4dr,Ford Fusion,Optional,2016,12,23,12023,4,2009
Not available,Ford,Fusion 4dr 4WD,Ford Fusion,Optional,2016,12,23,12023,4,2009
Not available,Ford,Fusion hybrid 4dr,Ford Fusion,Optional,2016,12,23,12023,4,2009
Not available,Ford,Fusion plug-in hybrid 4dr,Ford Fusion,Optional,2016,12,23,12023,4,2009
Not available,Ford,Mustang 2dr,Ford Mustang,Optional,2016,12,3,12003,1,2006
Not available,Ford,Mustang convertible,Ford Mustang,Optional,2016,12,3,12003,1,2006
Not available,Ford,Mustang GT 2dr,Ford Mustang,Optional,2016,12,3,12003,1,2006
Not available,Ford,Mustang GT convertible,Ford Mustang,Optional,2016,12,3,12003,1,2006
Not available,Ford,Mustang Shelby GT350 2dr,Ford Mustang,Optional,2016,12,3,12003,1,2006
Not available,Ford,T-150 Transit van,Ford T-150,Not available,2016,,,,,
Not available,Ford,T-150 Transit van cargo,Ford T-150,Not available,2016,,,,,
Not available,Ford,T-250 Transit van cargo,Ford T-250,Not available,2016,,,,,
Not available,Ford,T-350 Transit van,Ford T-350,Not available,2016,,,,,
Not available,Ford,T-350 Transit van cargo,Ford T-350,Not available,2016,,,,,
Not available,Ford,Taurus 4dr,Ford Taurus,Optional,2016,12,17,12017,4,2004
Not available,Ford,Taurus 4dr 4WD,Ford Taurus,Optional,2016,12,17,12017,4,2004
Not available,Ford,Taurus SHO 4dr 4WD,Ford Taurus,Optional,2016,12,17,12017,4,2004
Not available,Ford,Transit Connect LWB,Ford Transit,Not available,2016,12,462,12462,21,2015
Not available,Ford,Transit Connect SWB,Ford Transit,Not available,2016,12,462,12462,21,2015
