auto_braking,make,model,warning,year
Not available,BMW,530xi 4dr 4WD,Not available,2006
Not available,BMW,530xiT station wagon 4WD,Not available,2006
Not available,BMW,550i 4dr,Not available,2006
Not available,BMW,650i 2dr,Not available,2006
Not available,BMW,650i convertible,Not available,2006
Not available,BMW,750i 4dr,Not available,2006
Not available,BMW,750li 4dr,Not available,2006
Not available,BMW,760i 4dr,Not available,2006
Not available,BMW,760li 4dr,Not available,2006
Not available,BMW,M5 4dr,Not available,2006
Not available,BMW,M6 2dr,Not available,2006
Not available,BMW,X3 4dr 4WD,Not available,2006
Not available,BMW,X5 4dr 4WD,Not available,2006
Not available,Cadillac,XLR convertible,Not available,2006
Not available,Cadillac,XLR-V convertible,Not available,2006
Not available,Infiniti,FX35 4dr,Not available,2006
Not available,Infiniti,FX35 4dr 4WD,Not available,2006
Not available,Infiniti,FX45 4dr 4WD,Not available,2006
Not available,Infiniti,M35 4dr,Not available,2006
Not available,Infiniti,M35 4dr 4WD,Not available,2006
Not available,Infiniti,M45 4dr,Not available,2006
Not available,Infiniti,Q45 4dr,Not available,2006
Not available,Jaguar,S-type 4dr,Optional,2006
Not available,Jaguar,Super V8 4dr LWB,Standard,2006
Not available,Jaguar,XJR 4dr SWB,Standard,2006
Not available,Land Rover,LR3 4dr 4WD,Not available,2006
Not available,Land Rover,Range Rover 4dr 4WD,Not available,2006
Not available,Land Rover,Range Rover Sport 4dr 4WD,Optional,2006
Not available,Lexus,GS 300 4dr,Optional,2006
Not available,Lexus,GS 300 4dr 4WD,Optional,2006
Not available,Lexus,GS 430 4dr,Optional,2006
Not available,Lexus,IS 250 4dr,Not available,2006
Not available,Lexus,IS 250 4dr 4WD,Not available,2006
Not available,Lexus,IS 350 4dr,Not available,2006
Not available,Lexus,LS 430 4dr,Optional,2006
Not available,Lexus,RX 330 4dr,Not available,2006
Not available,Lexus,RX 330 4dr 4WD,Not available,2006
Not available,Lexus,RX 400h hybrid 4dr,Not available,2006
Not available,Lexus,RX 400h hybrid 4dr 4WD,Not available,2006
Not available,Lexus,SC 430 convertible,Not available,2006
Not available,Maybach,57 4dr,Standard,2006
Not available,Maybach,62 4dr,Standard,2006
Not available,Mercedes-Benz,CL class 2dr,Optional,2006
Not available,Mercedes-Benz,CLK class 2dr,Not available,2006
Not available,Mercedes-Benz,CLK class convertible,Not available,2006
Not available,Mercedes-Benz,CLS class 4dr,Optional,2006
Not available,Mercedes-Benz,E class 4dr,Optional,2006
Not available,Mercedes-Benz,E class 4dr 4WD,Not available,2006
Not available,Mercedes-Benz,E class station wagon,Optional,2006
Not available,Mercedes-Benz,E class station wagon 4WD,Not available,2006
Not available,Mercedes-Benz,M class 4dr 4WD,Not available,2006
Not available,Mercedes-Benz,R class 4dr 4WD,Not available,2006
Not available,Mercedes-Benz,S class 4dr,Optional,2006
Not available,Mercedes-Benz,S class 4dr 4WD,Optional,2006
Not available,Mercedes-Benz,SL class convertible,Optional,2006
Not available,Volkswagen,Passat 4dr,Not available,2006
Not available,Volkswagen,Passat 4dr 4WD,Not available,2006
Optional,Acura,RL 4dr 4WD,Optional,2007
Not available,Audi,A3 station wagon,Not available,2007
Not available,Audi,A3 station wagon 4WD,Not available,2007
Not available,Audi,A4 4dr,Not available,2007
Not available,Audi,A4 4dr 4WD,Not available,2007
Not available,Audi,A4 Cabriolet convertible,Not available,2007
Not available,Audi,A4 Cabriolet convertible 4WD,Not available,2007
Not available,Audi,A4 station wagon 4WD,Not available,2007
Not available,Audi,A6 4dr,Not available,2007
Not available,Audi,A6 4dr 4WD,Not available,2007
Not available,Audi,A6 station wagon 4WD,Not available,2007
Not available,Audi,A8 4dr 4WD,Not available,2007
Not available,Audi,A8L 4dr 4WD,Not available,2007
Not available,Audi,Q7 4dr 4WD,Optional,2007
Not available,Audi,RS4 4dr 4WD,Not available,2007
Not available,Audi,S4 4dr 4WD,Not available,2007
Not available,Audi,S4 Cabriolet convertible 4WD,Not available,2007
Not available,Audi,S4 station wagon 4WD,Not available,2007
Not available,Audi,S6 4dr 4WD,Not available,2007
Not available,Audi,S8 4dr 4WD,Not available,2007
Not available,BMW,328i 2dr,Not available,2007
Not available,BMW,328i 4dr,Not available,2007
Not available,BMW,328i convertible,Not available,2007
Not available,BMW,328i station wagon,Not available,2007
Not available,BMW,328xi 2dr 4WD,Not available,2007
Not available,BMW,328xi 4dr 4WD,Not available,2007
Not available,BMW,328xi station wagon 4WD,Not available,2007
Not available,BMW,335i 2dr,Not available,2007
Not available,BMW,335i 4dr,Not available,2007
Not available,BMW,335i convertible,Not available,2007
Not available,BMW,335xi 4dr 4WD,Not available,2007
Not available,BMW,525i 4dr,Not available,2007
Not available,BMW,525xi 4dr 4WD,Not available,2007
Not available,BMW,530i 4dr,Not available,2007
Not available,BMW,530xi 4dr 4WD,Not available,2007
Not available,BMW,530xiT station wagon 4WD,Not available,2007
Not available,BMW,550i 4dr,Not available,2007
Not available,BMW,650i 2dr,Not available,2007
Not available,BMW,650i convertible,Not available,2007
Not available,BMW,750i 4dr,Not available,2007
Not available,BMW,750li 4dr,Not available,2007
Not available,BMW,760li 4dr,Not available,2007
Not available,BMW,M5 4dr,Not available,2007
Not available,BMW,M6 2dr,Not available,2007
Not available,BMW,M6 convertible,Not available,2007
Not available,BMW,X3 4dr 4WD,Not available,2007
Not available,BMW,X5 4dr 4WD,Not available,2007
Not available,Cadillac,XLR convertible,Not available,2007
